,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
1000,Audio,01. Microfono,/Collaborate Versa Lite CT RTP_8.png,ClearOne,Collaborate Versa Lite CT,Microfono Beamforming array con amplificacion y puerto USB Zoom/Teams,En casos que por exigencias arquitectonicas deseen que los microfonos no se vean y que puedan capturar un area muy amplia de manera homogenea.  Este microfono se puede instalar en el techo directamete a su PC,,,PoE,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Audio,01. Microfono,/002000_BMA CT_19.png,ClearOne,BMA-360D,Microfono Beamforming array para techo Dante,"En casos que por exigencias arquitectonicas deseen que los microfonos no se vean y que puedan capturar un area muy amplia de manera homogenea.  Este microfono se puede instalar en el techo, en la mesa y en pared",,,PoE,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,Audio,01. Microfono,/003000_BMA CTH_19.png,ClearOne,BMA-CTH,Microfono Beamforming array para techo,"En casos que por exigencias arquitectonicas deseen que los microfonos no se vean y que puedan capturar un area muy amplia de manera homogenea.  Este microfono se puede instalar en el techo, en la mesa y en pared",,Converge Huddle,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,Audio,01. Microfono,/004000_Button Mic_19.png,ClearOne,Button Mic,Microfono miniatura para empotrar en mesa o Drywall,Si requiere un microfono para captar la voz de los participante pero que pase desapercibido ya sea por motivos de seguridad o estetica use este microfono,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,Audio,01. Microfono,/005000_Ceiling Mic Array_19.png,ClearOne,Ceiling Mic Array,Microfono de colgar en techos de 3 capsulas en array,"Cuando no se desee tener nada sobre la mesa o sea muy dificil llegar a ella pero requiera captar lo que las personas ubicadas en dicha mesa esten hablando, este es un microfono a tener en cuenta",,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,Audio,01. Microfono,/006000_Ceiling Mic Array Analogue X_19.png,ClearOne,Ceiling Mic Array Analogue X,Microfono Analogo  de colgar en techos de 3 capsulas en array,"Cuando no se desee tener nada sobre la mesa o sea muy dificil llegar a ella pero requiera captar lo que las personas ubicadas en dicha mesa esten hablando, este es un microfono a tener en cuenta",,Junction Box Incluida,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,Audio,01. Microfono,/007000_Ceiling Mic Array Dante_19.png,ClearOne,Ceiling Mic Array Dante,Microfono Dante de colgar en techos de 3 capsulas en array,"Opcion con Audio IP x Dante, cuando no se desee tener nada sobre la mesa o sea muy dificil llegar a ella pero requiera captar lo que las personas ubicadas en dicha mesa esten hablando.",,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,Audio,01. Microfono,/008000_Chat-50.png,ClearOne,Chat-50,Sistema Microfono - Altavoz - Cancelador eco para 1 o 2 personas,"Cuando no desee usar audifonos para una conferencia porque va a estar junto otra persona usted va a requerir un sistema de audio.  Este Chat50 es mas que un speakerphone, es un equipo de audio con procesamiento avanzado de cancelacion de eco en tamaño pequeño para poner en su escritorio y que se integra perfectamente a Spontanea y otras soluciones",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
9000,Audio,01. Microfono,/009000_Chat-150_19.png,ClearOne,Chat-150,Sistema Microfono - Altavoz - Cancelador eco para 4 o 6 personas,"Cuando van a estar mas de 2 personas en una misma mesa, estas van a requerir un sistema de audio.  Este Chat150 es mas que un speakerphone, es un equipo de audio (parlantes y microfonos) con procesamiento avanzado de cancelacion de eco prioridad de microfonos con captacion de 360° que le garantiza el mejor sonido a la persona con la que ustedes estan reuniendose remotamente.  El Chat150 se integra perfectamente a Spontanea y otras soluciones",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
